# serie: dificultad — Medición 1 · cuánto pesaba la bomba contra la dificultad real
# origen: https://ethereum-rpc.publicnode.com · eth_getBlockByNumber
# bajado: 2026-08-20 00:20 UTC
# rango: bloques 4000000..15537394 cada 10000
# el paso es parte del dato: la serie está muestreada, no es continua
bloque,marca,dificultad
4000000,1499633567,1096303811407388
4010000,1499822822,1200544562878202
4020000,1500014191,1187113071610091
4030000,1500204078,1228625667218763
4040000,1500394384,1235936430634113
4050000,1500582560,1283454593510472
4060000,1500769405,1332753543396378
4070000,1500956072,1327164105318711
4080000,1501141977,1329272968967475
4090000,1501327674,1319351978031128
4100000,1501511212,1390302857940436
4110000,1501722041,1646587583970027
4120000,1501938053,1547734714789310
4130000,1502150340,1616145891766844
4140000,1502361579,1664949033959875
4150000,1502572476,1711391947807191
4160000,1502782023,1711743114431040
4170000,1502990687,1751210748993325
4180000,1503197977,1757003838821545
4190000,1503404494,1756145541530682
4200000,1503608908,1840219267738365
4210000,1503852997,2171912040135346
4220000,1504100252,2182554221934637
4230000,1504345551,2216853011671734
4240000,1504589723,2247986302600341
4250000,1504834315,2297313428231280
4260000,1505076113,2340967072593263
4270000,1505317872,2354382563013200
4280000,1505558767,2296643552723701
4290000,1505798297,2369211045415242
4300000,1506036497,2467219275799990
4310000,1506331392,2825820037787968
4320000,1506630908,2914003366162654
4330000,1506935019,2840070662062383
4340000,1507234867,2959560304032958
4350000,1507536137,2885956744389112
4360000,1507834315,3000382138746237
4370000,1508131331,2994347070619309
4380000,1508285403,1434704396698100
4390000,1508424198,1467268317212703
4400000,1508562677,1473672231750310
4410000,1508700819,1450791100453353
4420000,1508838906,1499989572589517
4430000,1508978450,1470132142553926
4440000,1509117805,1450096179202197
4450000,1509256552,1489566134778038
4460000,1509397021,1461348435287504
4470000,1509536119,1518941738772168
4480000,1509677297,1417167196239194
4490000,1509816619,1395786397502963
4500000,1509953783,1465739724922791
4510000,1510093603,1446553455227347
4520000,1510232594,1397833242271678
4530000,1510370917,1436620850642529
4540000,1510508326,1475669384807161
4550000,1510647591,1454140502260347
4560000,1510787359,1419717679820878
4570000,1510926725,1388871257202093
4580000,1511066010,1373236907263121
4590000,1511203590,1526779040200611
4600000,1511344523,1450344531213922
4610000,1511483126,1535644464902605
4620000,1511621836,1600754504194079
4630000,1511761841,1568895705631657
4640000,1511904132,1505771928427777
4650000,1512045313,1533847913591012
4660000,1512186301,1566287385496388
4670000,1512328955,1534257527380370
4680000,1512482338,1437697811903441
4690000,1512636574,1489744171637090
4700000,1512785595,1562736739376814
4710000,1512935233,1526465919833647
4720000,1513084369,1559690931464925
4730000,1513237100,1628877068121290
4740000,1513387167,1797601190920963
4750000,1513536833,1740446343880873
4760000,1513687248,1748775300714727
4770000,1513841969,1773609356448297
4780000,1513995529,1744163798959410
4790000,1514141420,1816939295686481
4800000,1514284151,1843703652713015
4810000,1514428735,1912266060898740
4820000,1514577165,1868871836533249
4830000,1514725188,1889940043561101
4840000,1514871479,1952612727609209
4850000,1515025694,1885928035284267
4860000,1515185572,1944094461007678
4870000,1515344646,1942263545481763
4880000,1515503107,2008958981123306
4890000,1515663084,2091347057866060
4900000,1515822538,2144039206294426
4910000,1515979106,2218893088745428
4920000,1516136851,2201666402639439
4930000,1516292353,2282573786669176
4940000,1516444546,2255888431855966
4950000,1516591057,2425082994479647
4960000,1516738550,2420223595409451
4970000,1516883479,2552578822331110
4980000,1517029177,2495728916706215
4990000,1517172717,2616498920966856
5000000,1517319693,2546613975853490
5010000,1517465989,2650376954578861
5020000,1517615106,2762466757070549
5030000,1517759255,2784050139930834
5040000,1517904362,2796234264524629
5050000,1518049964,2846820864381434
5060000,1518193977,2878948060356228
5070000,1518338353,3012584500281843
5080000,1518484312,2933789976463899
5090000,1518629769,2914835408040712
5100000,1518774582,3020325085767531
5110000,1518919093,3048238357158461
5120000,1519064337,2984718574489121
5130000,1519213467,2861776570622261
5140000,1519359932,2939480713105594
5150000,1519507003,3023711330079947
5160000,1519654836,2996706033422410
5170000,1519801311,3087033042951543
5180000,1519948742,3073447864073453
5190000,1520094714,3241604394923315
5200000,1520240763,3195756936268113
5210000,1520388075,3135447293963994
5220000,1520534445,3247639822246607
5230000,1520681493,3138291945364752
5240000,1520827281,3219045010269689
5250000,1520975069,3139759784384877
5260000,1521123141,3162651801424961
5270000,1521269664,3251534989117932
5280000,1521415391,3316740610586644
5290000,1521561537,3170443365652959
5300000,1521705200,3215530880320231
5310000,1521849907,3205576677816529
5320000,1521993914,3143316868420175
5330000,1522137102,3276354785565331
5340000,1522282500,3276054204020746
5350000,1522428938,3267864020178566
5360000,1522572355,3217023000565851
5370000,1522714771,3197836334423496
5380000,1522858488,3208828796959572
5390000,1523001834,3284493521976556
5400000,1523144644,3219132329618099
5410000,1523288469,3087916785778668
5420000,1523430820,3139416817875215
5430000,1523576991,2989502849615269
5440000,1523722574,3180630035346571
5450000,1523868856,3042172650374392
5460000,1524015428,3177572993573516
5470000,1524165383,3105322447734356
5480000,1524314551,3114517586805553
5490000,1524460954,3182020412059991
5500000,1524611221,3149348306986285
5510000,1524759540,3265220153293858
5520000,1524909726,3188007754472402
5530000,1525059517,3203707682352445
5540000,1525211441,3124738604945622
5550000,1525364227,3118485668342983
5560000,1525515809,3327767885518010
5570000,1525665766,3319752615722539
5580000,1525814979,3314846016570575
5590000,1525966739,3222314754062035
5600000,1526117029,3430124465529770
5610000,1526267373,3358760353726356
5620000,1526420170,3218857111844515
5630000,1526571912,3252333656865097
5640000,1526724418,3308408545930481
5650000,1526877903,3319946456227258
5660000,1527031161,3281535612089388
5670000,1527185343,3173055222248993
5680000,1527338206,3257975422391102
5690000,1527490357,3164171023925287
5700000,1527643015,3192146425597952
5710000,1527796525,3252232886626878
5720000,1527949897,3186625379065222
5730000,1528104203,3042263041978358
5740000,1528256497,3227617185729783
5750000,1528410341,3152903438522952
5760000,1528563012,3358007552991350
5770000,1528717216,3143947988667231
5780000,1528868501,3264470052205602
5790000,1529017882,3283964749676349
5800000,1529166467,3360325698707055
5810000,1529312622,3367427332913097
5820000,1529459855,3436093767330917
5830000,1529607759,3440112263406358
5840000,1529756296,3395258418233661
5850000,1529902416,3422283838114719
5860000,1530054421,3399319589571212
5870000,1530203197,3366784243823364
5880000,1530351013,3598779219190438
5890000,1530499615,3281817554801001
5900000,1530646642,3459938843300437
5910000,1530794550,3637324851169703
5920000,1530942968,3517905097822881
5930000,1531093254,3505100540667598
5940000,1531241905,3436811945961984
5950000,1531387780,3444540729554674
5960000,1531532086,3385703185927433
5970000,1531675397,3434956905133770
5980000,1531822417,3421193481141428
5990000,1531971151,3470849009247106
6000000,1532118564,3483739548912554
6010000,1532264894,3273541596034154
6020000,1532411124,3424917011438073
6030000,1532558514,3551925549207068
6040000,1532706031,3509299739331704
