# serie: gas — caso 3 · ocupación contra el límite que votan los validadores
# origen: https://ethereum-rpc.publicnode.com · eth_getBlockByNumber
# bajado: 2026-08-20 00:13 UTC
# rango: bloques 15537394..25792647 cada 10000
# el paso es parte del dato: la serie está muestreada, no es continua
bloque,marca,gas_usado,gas_limite,base_fee
15537394,1663224179,29983006,30000000,48811794595
15547394,1663346063,15321026,30000000,22019872064
15557394,1663467335,19486908,30000000,3008601008
15567394,1663588451,2924864,30000000,2495402821
15577394,1663709639,20225537,30000000,9555141101
15587394,1663831763,26061266,30000000,4912786247
15597394,1663952387,23192390,30000000,8750869661
15607394,1664072843,15247223,30000000,4091876033
15617394,1664193443,29904703,30000000,4392173568
15627394,1664314475,9587157,30000000,10832997218
15637394,1664435099,17181580,30000000,9359489254
15647394,1664555903,4375397,30000000,23306860940
15657394,1664676779,5602518,30000000,5288957602
15667394,1664797307,1843958,30000000,6053937720
15677394,1664918243,3053034,30000000,17600797283
15687394,1665039131,13326018,30000000,3894792396
15697394,1665159959,14920262,30000000,29650486255
15707394,1665280571,17784378,30000000,23736439090
15717394,1665401183,29979109,30000000,39007146644
15727394,1665521771,29992431,30000000,23517076665
15737394,1665642347,29988353,30000000,9271493110
15747394,1665763103,27739141,30000000,14950061433
15757394,1665883679,17657862,30000000,17679197357
15767394,1666004531,3656007,30000000,11281823257
15777394,1666125059,22109065,30000000,28108400923
15787394,1666245815,17504888,30000000,17290810555
15797394,1666366343,29994053,30000000,26594289589
15807394,1666486943,11315327,30000000,12211665849
15817394,1666607615,12646328,30000000,12760094286
15827394,1666728755,10256395,30000000,26957881611
15837394,1666849391,14888835,30000000,8114159025
15847394,1666970135,12388679,30000000,18694589907
15857394,1667090951,11717912,30000000,7583368920
15867394,1667211503,14558327,30000000,10377049364
15877394,1667332427,11641578,30000000,13981485000
15887394,1667453135,13041991,30000000,12914524351
15897394,1667573879,17084186,30000000,27590982754
15907394,1667694503,8208970,30000000,10103577042
15917394,1667815043,9607207,30000000,11193609129
15927394,1667935571,18494530,30000000,190953233548
15937394,1668056459,19328671,30000000,23699491105
15947394,1668177191,11943551,30000000,88992243175
15957394,1668297779,9824693,30000000,10974390307
15967394,1668418271,14034493,30000000,12958590070
15977394,1668538991,15312004,30000000,63414612899
15987394,1668659795,11160193,30000000,12788261522
15997394,1668780467,11740753,30000000,13660243872
16007394,1668901103,12505958,30000000,9942888712
16017394,1669021703,15095375,30000000,9508245574
16027394,1669142471,29738284,30000000,13298542083
16037394,1669263395,29469505,30000000,10371354204
16047394,1669384031,29975634,30000000,8458968460
16057394,1669504775,11831868,30000000,9097570862
16067394,1669625363,29977071,30000000,8863563803
16077394,1669745987,18072193,30000000,14208683871
16087394,1669866803,9363113,30000000,10824485906
16097394,1669987367,13216367,30000000,10211658289
16107394,1670108003,14180755,30000000,10690162559
16117394,1670228711,10713175,30000000,12235428661
